Name,Major SN,Major Code,SubType Name,Sub Code
Wrapped Cast Machined Tile,22,TC,Special Tile Size 2,S2
Wrapped Cast Machined Tile,22,TC,Special Tile Size 3,S3
Wrapped Cast Machined Tile,22,TC,Special Tile Size 4,S4
Wrapped Cast Machined Tile,22,TC,Special Tile Size 5,S5
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 0,00
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 2,02
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 4,04
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 6,06
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 8,08
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 10,10
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 12,12
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 14,14
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 16,16
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 18,18
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 20,20
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 22,22
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 24,24
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 26,26
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 28,28
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 30,30
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 32,32
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 34,34
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 36,36
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 38,38
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 40,40
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 42,42
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 44,44
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 46,46
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 48,48
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 50,50
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 52,52
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 54,54
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 56,56
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 58,58
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 60,60
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 62,62
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 64,64
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 66,66
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 68,68
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 70,70
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 72,72
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 74,74
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 76,76
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 78,78
