LABEL_TYPECODE,SERIAL_NUMBER,BARCODE,NAME_LABEL,LOCATION,INSTITUTION,MANUFACTURER,PRODUCTION_DATE,MADE-FROM-TYPECODE[0],MADE-FROM-SN[0],COMMENT_DESCRIPTION,ATTRIBUTE-NAME[0],ATTRIBUTE-VALUE[0]
IC-LPG,CCA9FC96,CCA9FC96,LPGBT W 0xCCA9FC96,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000950,W LPGBT for 320EL10W1010096,lpGBT Location LD Engine,TRIG-W
IC-LPG,A4A82AE5,A4A82AE5,LPGBT DAQ 0xA4A82AE5,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000951,DAQ LPGBT for 320EL10W1010097,lpGBT Location LD Engine,DAQ
IC-LPG,A42A5286,A42A5286,LPGBT E 0xA42A5286,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000952,E LPGBT for 320EL10W1010097,lpGBT Location LD Engine,TRIG-E
IC-LPG,0CA990AC,0CA990AC,LPGBT W 0x0CA990AC,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000953,W LPGBT for 320EL10W1010097,lpGBT Location LD Engine,TRIG-W
IC-LPG,E4A95021,E4A95021,LPGBT DAQ 0xE4A95021,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000954,DAQ LPGBT for 320EL10W1010098,lpGBT Location LD Engine,DAQ
IC-LPG,84AC5642,84AC5642,LPGBT E 0x84AC5642,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000955,E LPGBT for 320EL10W1010098,lpGBT Location LD Engine,TRIG-E
IC-LPG,04AB15D3,04AB15D3,LPGBT W 0x04AB15D3,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000956,W LPGBT for 320EL10W1010098,lpGBT Location LD Engine,TRIG-W
IC-LPG,642FDF57,642FDF57,LPGBT DAQ 0x642FDF57,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000957,DAQ LPGBT for 320EL10W1010099,lpGBT Location LD Engine,DAQ
IC-LPG,6C28ED95,6C28ED95,LPGBT E 0x6C28ED95,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000958,E LPGBT for 320EL10W1010099,lpGBT Location LD Engine,TRIG-E
IC-LPG,042F19CD,042F19CD,LPGBT W 0x042F19CD,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000959,W LPGBT for 320EL10W1010099,lpGBT Location LD Engine,TRIG-W
IC-LPG,64A82CB5,64A82CB5,LPGBT DAQ 0x64A82CB5,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000960,DAQ LPGBT for 320EL10W1010100,lpGBT Location LD Engine,DAQ
IC-LPG,C429077C,C429077C,LPGBT E 0xC429077C,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000961,E LPGBT for 320EL10W1010100,lpGBT Location LD Engine,TRIG-E
IC-LPG,A4A8EF75,A4A8EF75,LPGBT W 0xA4A8EF75,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000962,W LPGBT for 320EL10W1010100,lpGBT Location LD Engine,TRIG-W
IC-LPG,2CADA425,2CADA425,LPGBT DAQ 0x2CADA425,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000963,DAQ LPGBT for 320EL10W1010101,lpGBT Location LD Engine,DAQ
IC-LPG,A4ABCE02,A4ABCE02,LPGBT E 0xA4ABCE02,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000964,E LPGBT for 320EL10W1010101,lpGBT Location LD Engine,TRIG-E
IC-LPG,0C2B3C7D,0C2B3C7D,LPGBT W 0x0C2B3C7D,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000965,W LPGBT for 320EL10W1010101,lpGBT Location LD Engine,TRIG-W
IC-LPG,EC2FEA73,EC2FEA73,LPGBT DAQ 0xEC2FEA73,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000966,DAQ LPGBT for 320EL10W1010102,lpGBT Location LD Engine,DAQ
IC-LPG,C42F7CF1,C42F7CF1,LPGBT E 0xC42F7CF1,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000967,E LPGBT for 320EL10W1010102,lpGBT Location LD Engine,TRIG-E
IC-LPG,4CAB54BC,4CAB54BC,LPGBT W 0x4CAB54BC,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000968,W LPGBT for 320EL10W1010102,lpGBT Location LD Engine,TRIG-W
IC-LPG,E42EA6F5,E42EA6F5,LPGBT DAQ 0xE42EA6F5,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000969,DAQ LPGBT for 320EL10W1010103,lpGBT Location LD Engine,DAQ
IC-LPG,EC2C0804,EC2C0804,LPGBT E 0xEC2C0804,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000970,E LPGBT for 320EL10W1010103,lpGBT Location LD Engine,TRIG-E
IC-LPG,6CACD14B,6CACD14B,LPGBT W 0x6CACD14B,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000971,W LPGBT for 320EL10W1010103,lpGBT Location LD Engine,TRIG-W
