Label ID,Full Label,Type Code,SN,Major Type ID,Sub Type ID,Time
2268,320MLR3CXSB0006,MLR3C,XSB0006,7,359,2024-03-14 09:35:29
2269,320MLR3CXSB0007,MLR3C,XSB0007,7,359,2024-03-14 09:35:29
2270,320MLR3CXSB0004,MLR3C,XSB0004,7,359,2024-03-14 09:35:29
2271,320MLR3CXSB0002,MLR3C,XSB0002,7,359,2024-03-14 09:35:29
2272,320MLR3CXSB0003,MLR3C,XSB0003,7,359,2024-03-14 09:35:29
2273,320MLR3CXSB0001,MLR3C,XSB0001,7,359,2024-03-14 09:35:29
2274,320WE20A1000006,WE20A1,000006,17,105,2024-03-14 09:35:29
2275,320WE20A1000007,WE20A1,000007,17,105,2024-03-14 09:35:29
2276,320WE20A1000004,WE20A1,000004,17,105,2024-03-14 09:35:29
2277,320WE20A1000005,WE20A1,000005,17,105,2024-03-14 09:35:29
2278,320WE20A1000002,WE20A1,000002,17,105,2024-03-14 09:35:29
2279,320WE20A1000001,WE20A1,000001,17,105,2024-03-14 09:35:29
2280,320WE20A1000008,WE20A1,000008,17,105,2024-03-14 09:35:29
2281,320WE20A1000009,WE20A1,000009,17,105,2024-03-14 09:35:29
2282,320TC9910040008,TC99,10040008,2,82,2024-03-14 09:35:29
2283,320TC9910040001,TC99,10040001,2,82,2024-03-14 09:35:29
2284,320TC9910040002,TC99,10040002,2,82,2024-03-14 09:35:29
2285,320TC9910040003,TC99,10040003,2,82,2024-03-14 09:35:29
2286,320TC9910040004,TC99,10040004,2,82,2024-03-14 09:35:29
2287,320TC9910040005,TC99,10040005,2,82,2024-03-14 09:35:29
2288,320TC9910040006,TC99,10040006,2,82,2024-03-14 09:35:29
2289,320TC9910040007,TC99,10040007,2,82,2024-03-14 09:35:29
2290,320MLF3WXSB0006,MLF3W,XSB0006,7,364,2024-03-14 09:35:29
2291,320TC9910230005,TC99,10230005,2,82,2024-03-14 09:35:29
2292,320TC9910230004,TC99,10230004,2,82,2024-03-14 09:35:29
2293,320TC9910230007,TC99,10230007,2,82,2024-03-14 09:35:29
2294,320TC9910230006,TC99,10230006,2,82,2024-03-14 09:35:29
2295,320TC9910230001,TC99,10230001,2,82,2024-03-14 09:35:29
2296,320TC9910340008,TC99,10340008,2,82,2024-03-14 09:35:29
2297,320TC9910230003,TC99,10230003,2,82,2024-03-14 09:35:29
2298,320TC9910230002,TC99,10230002,2,82,2024-03-14 09:35:29
2299,320TC9910340005,TC99,10340005,2,82,2024-03-14 09:35:29
2300,320TC9910340007,TC99,10340007,2,82,2024-03-14 09:35:29
2301,320TC9910340006,TC99,10340006,2,82,2024-03-14 09:35:29
2302,320TC9910340001,TC99,10340001,2,82,2024-03-14 09:35:29
2303,320TC9910230008,TC99,10230008,2,82,2024-03-14 09:35:29
2304,320TC9910340003,TC99,10340003,2,82,2024-03-14 09:35:29
2305,320TC9910340002,TC99,10340002,2,82,2024-03-14 09:35:29
2306,320MLF3WXSB0004,MLF3W,XSB0004,7,364,2024-03-14 09:35:29
2307,320CBTXC2000030,XXXXXX,000030,1,1,2024-03-14 09:35:29
2308,320MLF3WXSB0005,MLF3W,XSB0005,7,364,2024-03-14 09:35:29
2309,320MLF3WXSB0002,MLF3W,XSB0002,7,364,2024-03-14 09:35:29
